"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"CACNG8"," 1","11"," 1"," 1"," 6"," 2"," 0"," 6","10"," 2"
"ARRDC2"," 4"," 4"," 9","10"," 9","18","23"," 7","11","18"
"FZR1","13","22","15"," 4","19","19"," 8"," 8","21","20"
"MFSD12","1","0","2","0","2","1","1","3","2","2"
"HMG20B","45","92","43","21","38","53","58","55","54","47"
"GIPC3","2","2","1","0","1","1","2","7","3","2"
"CCDC124","611","480","132"," 85","383","502","408","435","611","474"
"C19orf71","4","0","0","0","2","1","3","0","2","2"
"FKBP8","183","148"," 98"," 42","231","146","168","145","128","265"
"KXD1"," 60"," 65"," 37"," 87"," 72"," 62","100","111"," 96"," 62"
"UBA52","328","558","870","554","365","445","551","385","464","322"
"CRLF1"," 2"," 0"," 1"," 0"," 0"," 1","74"," 9"," 1"," 5"
"REX1BD","17","12","19"," 3","15","14","15","17","13","13"
"TMEM59L","153","212"," 38"," 39","108","144"," 33"," 62","177","374"
"ZNF69"," 4"," 7","13"," 3"," 5"," 8","10"," 9"," 6"," 6"
"ZNF700"," 3"," 9"," 3"," 5"," 6"," 3"," 6","18","12"," 8"
"PPP1R13L"," 5"," 9"," 5","10","43"," 8","11"," 7","13"," 8"
"ERCC2","10","18","11"," 6","12","13"," 9"," 9","18","12"
"ZNF649","6","2","1","3","1","2","1","4","2","4"
"ZNF613","1","3","4","2","3","3","3","6","4","3"
"ZNF350"," 5"," 7"," 6"," 9","10"," 6"," 6"," 6"," 8"," 8"
"DNM2","24","18","12","12","21","22","14","26","22","22"
"ZNF317","10","10"," 9","14","13","12"," 7","14","16"," 6"
"CIC","37","32","16"," 5","20","24","26","28","32","27"
"DMPK","4","5","1","1","4","4","5","5","3","4"
"NWD1"," 1"," 2"," 0"," 0"," 4"," 4","27"," 0"," 6"," 3"
"SIN3B"," 38"," 96"," 24"," 77","132"," 42","125"," 69","148"," 57"
"CPAMD8","0","0","0","0","0","0","6","0","0","0"
"HAUS8","1","5","4","1","1","2","4","7","2","1"
"ATP5F1D","473","238"," 78"," 28","110","135","102","169","291","369"
"SCN1B"," 8"," 7","13"," 6"," 3","12"," 6","18"," 4","20"
"SHISA7","1","0","0","0","0","1","0","3","0","5"
"ZNF180","16","13","11"," 8","28","13"," 8","20","13","10"
"OLFM2","528","127"," 21"," 38","116","422"," 66","344","317","287"
"PODNL1"," 0"," 3"," 3"," 0"," 5"," 2","11"," 1"," 2"," 2"
"SHC2","33","29"," 1"," 7","21","19","13","58","19","47"
"MEX3D","2","1","0","0","0","1","1","1","2","3"
