"","SRR11862835","SRR11862837","SRR11862839","SRR11862841","SRR11862845","SRR11862847","SRR11862849","SRR11862851","SRR11862855","SRR11862857"
"OXSM"," 9","18","30","29","11","16","20","15","18","16"
"CAMK2N2","  3"," 20"," 28","  0","  4","  8","370","118"," 39","158"
"PSMD2"," 36","114"," 74"," 36"," 43"," 63"," 90","116"," 68"," 63"
"EIF4G1"," 93"," 66"," 59"," 21"," 75","118","150","175","199","179"
"SNORD66","19"," 0"," 0"," 8","19"," 0"," 0","10"," 0"," 0"
"FAM131A","  7"," 17"," 27","  1","  8","  6"," 85","128"," 12"," 91"
"CLCN2","6","4","3","1","3","3","6","4","8","7"
"ACAA1","39","35","19","12","32","30","40","33","53","51"
"WDR48","15","51","37","23","31","22","25","36","28","34"
"LRRC2-AS1","0","0","1","0","1","1","0","2","0","0"
"TMIE","14","11","22"," 1"," 6","20","14","36","37","21"
"MYL3"," 7"," 3"," 2"," 2"," 4"," 0","10"," 5"," 1"," 3"
"PTH1R","27","21","23"," 4","18"," 9","75","40"," 5","44"
"NBEAL2","3","4","4","1","2","4","3","5","7","2"
"NRADDP","0","0","0","0","0","3","0","0","3","6"
"ACVR2B"," 4"," 4"," 4"," 1"," 3"," 2"," 8"," 4","13"," 2"
"RPL18AP7","1","0","0","0","3","1","0","3","3","0"
"ZNF639"," 9","24","30","13"," 9","21","18","17","22","19"
"MFN1","16","18","14","30","13","20"," 9","12","16"," 8"
"GNB4"," 6"," 8"," 9","22","13","11"," 1"," 4"," 5"," 4"
"ACTL6A"," 6","15"," 5","11","18","13"," 6"," 6","23"," 7"
"MRPL47"," 37"," 45"," 74","107"," 24"," 49"," 35"," 46"," 33"," 28"
"LSG1"," 5"," 4"," 8"," 2"," 1"," 7"," 6"," 4","10"," 7"
"FAM43A"," 4"," 8"," 8","10"," 6"," 7","17"," 6"," 1","10"
"BHLHE40","156","106","113"," 49"," 72","253","465","203","199","195"
"ARL8B","268","310","582","182","233","194","440","547","307","426"
"EDEM1","19","20","26","23","18","17","20","18","26","14"
"ERC2-IT1"," 1"," 8","12"," 1"," 1"," 2","10","10"," 4"," 9"
"CCDC66","32","64","45","38","20","12","21","21","11","15"
"MAGEF1"," 32"," 55"," 49"," 23"," 52"," 68","143"," 93","140","144"
"C3orf70","19","51","44","23","52","72","37","47","35","71"
"VPS8","24","34","55","48","12","18","18","33","10","17"
"PIK3R4"," 5","11","13"," 8"," 7"," 7"," 3"," 8"," 4"," 2"
"CLDN1"," 1"," 4"," 4"," 3"," 4"," 2"," 5","10"," 7"," 3"
"CLDN16","0","4","4","0","0","0","0","4","0","0"
"ATP2C1"," 2"," 3"," 6","12"," 2"," 4"," 3"," 4"," 0"," 2"
"TFDP2"," 7","14","17"," 8"," 7","13"," 8"," 8"," 7"," 6"
"C3orf14","12","35","53","22"," 6","16","31","42","10","28"
"TRANK1"," 1","16","10"," 4"," 1"," 7","20"," 8"," 1"," 7"
"SUCLG2","29","46","53","52","49","39","32","21","14","10"
"PLCD1","18","15","10"," 8","10","48","26","23","30","25"
"SSR3"," 88","109","137","251"," 74"," 99"," 62"," 59"," 26"," 34"
"PSMD6","19","23","25","18","27","16","24","24","23","22"
"PLCH1"," 0"," 4","16"," 0"," 0"," 0"," 5"," 6"," 0"," 5"
"WWTR1"," 21"," 27"," 19"," 50","127"," 79"," 20"," 34"," 60"," 41"
"LRIG1"," 56"," 75"," 38"," 24"," 75","113","110"," 81","154","133"
"THPO"," 1"," 3"," 5"," 1"," 2"," 2"," 1","21"," 2"," 8"
"NMD3","27","71","88","84","34","60","56","36","27","25"
"ARHGEF3","20","15","52","21","21","21","41","35","17","28"
"CISH","0","0","0","0","1","4","2","0","1","1"
"RNF13","1","1","2","0","0","1","2","0","1","1"
"NKIRAS1"," 21"," 61","133"," 25"," 17"," 24"," 49"," 62"," 14"," 35"
"STXBP5L"," 1","26","70"," 4"," 2"," 4","38","38"," 3","21"
"RYK","26","61","52","24","36","32","28","34","24","28"
"HEMK1","1","1","1","0","0","1","1","1","5","1"
"SIDT1"," 3"," 6","11"," 1"," 2"," 7"," 4","12"," 1"," 5"
"CCDC14","1","0","1","2","0","6","1","1","1","1"
"C3orf52","0","1","1","1","0","1","0","0","1","1"
"JAGN1","59","97","72","58","67","99","81","74","83","98"
"BSN"," 1","13","23"," 0"," 1"," 0","43","49"," 3","29"
"APEH","26","18","25","13","20","38","72","47","74","59"
"RNF123"," 2"," 6"," 6"," 1"," 5"," 3","18","10"," 7"," 7"
"GMPPB"," 2"," 2"," 2"," 1"," 5"," 4"," 7"," 5","11"," 6"
"PRRT3"," 0"," 2"," 1"," 0"," 0"," 1","11"," 6"," 4"," 6"
"KLHL18"," 6","13","13"," 5"," 6"," 8","14","12","12","11"
"EIF4A2"," 200","1039","1667"," 512"," 173"," 205"," 933"," 901","  82"," 670"
"FOXL2"," 2"," 4"," 6"," 2","11"," 2"," 0"," 3"," 4"," 3"
"PISRT1","0","5","1","2","0","0","0","0","3","6"
"LRRC58","10","11"," 5"," 8"," 4","22"," 7","10"," 9"," 6"
"SUGT1P2"," 4"," 3"," 3"," 3"," 7","12","16"," 8"," 5","10"
"TIMP4"," 26"," 18"," 34"," 49","188","118"," 34"," 31","150"," 14"
"PDCD10"," 58","117","101","196"," 70"," 66"," 76"," 77"," 59"," 60"
"SERPINI1"," 16"," 91","158"," 17","  8","  2"," 78","115","  2"," 68"
"PLSCR4"," 49","150","154"," 70"," 74","187"," 53"," 51"," 14"," 38"
"PLSCR1","12","25","12","66","20","99","10","13"," 7","11"
"KPNA4"," 8","24","28","18","10","17","13","18"," 8","10"
"SCARNA7","22778","18209","20585","28988","33059"," 6199","14310","18283","40786","16938"
"CHMP2B","66","61","54","55","66","35","51","48","42","53"
"WNT5A"," 1"," 1"," 2"," 8"," 2","12"," 2"," 2","14"," 1"
"RRP9","14","20","15"," 3","20","26","47","27","85","40"
"GPR62","120"," 57","  9"," 31"," 79","  3"," 58"," 58"," 52"," 66"
"RPL29","1049"," 785"," 546"," 861"," 720","1327"," 533"," 975","1063"," 549"
"DUSP7"," 61"," 49"," 23"," 10"," 58"," 28","133"," 81"," 57","146"
"POC1A"," 4"," 2"," 3"," 2"," 3"," 8"," 7"," 6","27"," 7"
