"","GSM5800240","GSM5800241","GSM5800242","GSM5800243","GSM5800244","GSM5800245","GSM5800246","GSM5800247","GSM5800248","GSM5800249","GSM5800250","GSM5800251","GSM5800252","GSM5800253","GSM5800254","GSM5800255"
"ENSG00000106723","29","24","10","10","11","11","13","11"," 9","10","18","18","14","16","29","26"
"ENSG00000106733","0","0","0","0","0","0","1","0","0","0","1","4","1","1","3","1"
"ENSG00000106771","10","11"," 4"," 3"," 7"," 5"," 3"," 2"," 3"," 3"," 6"," 4"," 5"," 5"," 7"," 7"
"ENSG00000106772","55","45","22","22","37","34","24","19","45","38","24","21","16","14","59","52"
"ENSG00000106780","12","12"," 9"," 9","12","11","13","11"," 7"," 7"," 6"," 5","17","16","14","13"
"ENSG00000106785","10","10","13","12"," 4"," 4"," 4"," 5","16","16"," 5"," 6"," 3"," 2"," 3"," 3"
"ENSG00000106789","0","0","2","2","0","0","0","0","1","0","0","1","1","0","0","1"
"ENSG00000106799","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1"
"ENSG00000106803","10","12"," 4"," 3"," 1"," 2"," 2"," 2"," 4"," 3"," 2"," 1"," 0"," 0"," 0"," 0"
"ENSG00000106804","2","2","0","0","0","0","0","0","3","4","5","1","1","0","3","5"
"ENSG00000106823","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0"
"ENSG00000106829","192","187"," 47"," 49"," 73"," 84"," 48"," 49"," 75"," 60"," 45"," 48"," 51"," 48","123","116"
"ENSG00000106852"," 5"," 6"," 9"," 5","11"," 8"," 7"," 4"," 6"," 5"," 3"," 3"," 2"," 3"," 2"," 3"
"ENSG00000106853","2","2","3","3","3","1","0","1","0","0","4","6","0","0","1","1"
"ENSG00000106868","2","3","1","2","1","1","2","2","3","2","2","3","4","4","5","4"
"ENSG00000106948","46","53"," 4"," 4","26","20"," 6"," 6","21","21"," 6"," 5","18","17","33","27"
"ENSG00000106952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000106976"," 78"," 73"," 72"," 72"," 73"," 55"," 52"," 53","114","112","110","105"," 17"," 14"," 17"," 16"
"ENSG00000106991","23","22","10"," 9","20","19","20","20","11","10"," 6"," 6","42","42","32","30"
"ENSG00000106992","42","54"," 6"," 9"," 7"," 8","12","12"," 7"," 9"," 2"," 2"," 9","13","11"," 6"
"ENSG00000106993","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0"
"ENSG00000107020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"ENSG00000107021","16","18","21","19","31","20","24","20","14","14","12"," 9","11","12","12","14"
"ENSG00000107036","4","4","3","4","2","3","2","2","1","1","3","3","2","2","4","4"
"ENSG00000107077"," 5"," 6"," 3"," 5","14"," 3"," 2"," 1"," 2"," 2"," 5"," 4"," 3"," 5","14","16"
"ENSG00000107099"," 2"," 4"," 2"," 2","12"," 8"," 8"," 6"," 1"," 1"," 6"," 3"," 2"," 1"," 8"," 7"
"ENSG00000107104","13","12"," 8"," 7"," 7"," 7","11"," 9"," 6"," 6"," 6"," 6","11","10","13","11"
"ENSG00000107105","1","4","3","3","0","0","2","1","1","1","6","5","1","1","1","1"
"ENSG00000107130","248","244","148","147","406","369","231","230","206","181","243","219"," 52"," 50"," 52"," 48"
"ENSG00000107140","30","31","21","20","33","32","23","21","20","18","21","21","16","17","18","21"
"ENSG00000107147","10","10","54","52","11","14","35","70","40","40","36","37"," 3"," 2"," 3"," 3"
"ENSG00000107164"," 6"," 6"," 3"," 3"," 6"," 8"," 5"," 6"," 8"," 9"," 3"," 3"," 7","11","13","18"
"ENSG00000107175"," 6"," 7","10","12"," 1"," 2"," 4"," 4"," 3"," 2"," 5"," 6"," 8"," 9"," 8"," 7"
"ENSG00000107185","32","34","32","34","38","38","29","26","28","25","25","29","17","13","22","21"
"ENSG00000107186","30","26","27","33","14","18","14","15","30","43","28","25","11","14","17","18"
"ENSG00000107201","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1"
"ENSG00000107223","5","4","6","5","0","0","2","1","0","0","6","6","4","3","4","5"
"ENSG00000107242","5","5","3","3","2","1","1","1","2","2","5","3","1","1","2","3"
"ENSG00000107249","64","62","40","38","27","31","47","41","19","19","35","33","17","16","30","31"
"ENSG00000107262","3","3","1","1","2","5","7","5","3","4","2","5","4","6","4","2"
"ENSG00000107263","152","137"," 64"," 72"," 92"," 98"," 67"," 70"," 57"," 53"," 41"," 38"," 62"," 67"," 59"," 60"
"ENSG00000107281"," 79"," 71"," 68"," 62","122","120"," 54"," 51"," 40"," 34"," 38"," 47"," 38"," 35"," 49"," 51"
"ENSG00000107282","18","19","12","12","20","20","20","18","16","16","11","11","10","12","12","13"
"ENSG00000107290","12","10","12","11"," 8"," 7","11","11"," 9"," 9"," 7"," 7","12"," 9","11","11"
"ENSG00000107295","10"," 8","17","14"," 8","10","17","13","15","16","20","17"," 5"," 6"," 5"," 6"
"ENSG00000107317","493","454","323","303","665","659","563","520","395","393","275","260","619","613","934","898"
"ENSG00000107331","189","177","183","175","276","265","175","167","143","135"," 91"," 80","197","194","611","606"
"ENSG00000107338","2","1","3","3","2","3","5","6","1","1","0","0","8","5","6","5"
"ENSG00000107341","12","13","12","13","12","10","11","12","10","10","10"," 9","11","12","17","16"
"ENSG00000107362","3","2","0","0","0","1","0","0","3","2","1","1","2","2","6","5"
"ENSG00000107371","0","0","0","0","5","3","0","0","0","0","0","1","1","2","2","1"
"ENSG00000107372","34","30","12","13","47","33","12","14","28","23","22","23","22","24","33","33"
"ENSG00000107404","34","34","23","21","41","43","43","42","20","24","25","21","29","34","21","18"
"ENSG00000107438","13","13"," 4"," 3"," 5"," 5"," 8"," 9"," 8","12"," 8"," 4","14","13","27","18"
"ENSG00000107443","2","3","4","4","0","0","1","1","1","1","1","2","0","0","1","1"
"ENSG00000107518"," 7"," 7","11"," 8"," 9"," 9"," 2"," 2"," 7"," 4"," 6"," 7"," 3"," 3"," 1"," 1"
"ENSG00000107521","30","28","18","18","15","20","21","19","14","10","11"," 8","12","13","14","14"
"ENSG00000107537","3","4","0","0","0","0","0","0","0","0","1","0","4","4","3","3"
"ENSG00000107551","30","28","44","43","47","43","47","45","22","24","23","26","21","22","52","51"
"ENSG00000107554","5","5","2","2","3","3","2","2","2","2","2","2","3","3","3","3"
"ENSG00000107560"," 9"," 9","22","24","20","23","51","47","15","20","14","23"," 8"," 3","19","11"
"ENSG00000107562","10","10"," 2"," 2"," 2"," 2"," 7"," 5"," 9","11"," 2"," 2"," 5"," 5","14"," 9"
"ENSG00000107566","2","2","1","1","1","1","2","2","1","1","1","1","2","1","2","1"
"ENSG00000107581","2","2","1","1","5","5","2","2","5","5","5","5","7","6","9","8"
