"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"TEX38","0","0","1","1","1","2","1","1","2","0","3","1","0","1"
"EFCAB14-AS1","0","0","0","1","0","0","1","1","2","1","1","0","1","1"
"EFCAB14","34","21","25","28","24","22","22","23","23","23","32","19","22","21"
"PSEN2","1","1","1","2","2","1","1","2","1","1","2","2","3","3"
"FCRLA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DUSP12","17","23","17","21","16","16","13","14","21","12","11","18","11","13"
"TRAF5","7","9","9","7","6","7","6","9","9","7","9","7","8","8"
"SNX25P1","2","3","1","2","2","1","2","2","1","1","4","2","1","1"
"ARPC3P2","0","0","1","0","1","0","0","0","1","1","2","0","0","1"
"SLC30A1","57","44","41","51","39","30","28","34","38","33","33","22","40","36"
"ATF6","27","23","25","26","20","18","18","18","19","18","20","19","17","16"
"RABGGTB","31","39","29","31","32","23","22","24","23","29","24","24","21","23"
"MSH4","1","4","2","7","4","2","2","4","6","1","1","3","7","6"
"DENND1B","12","13","10","14"," 9"," 8"," 9"," 8"," 8"," 7"," 7"," 8"," 7"," 7"
"EEF1A1P32","2","2","2","3","4","2","1","2","2","3","2","2","1","3"
"FAM204BP","3","2","1","5","5","2","6","7","4","2","5","7","3","3"
"CRB1","13"," 7"," 7","12"," 8"," 9","13","12"," 9"," 6","12"," 7","11","12"
"MPL","2","1","1","1","1","1","1","1","2","1","2","3","2","2"
"CDC20","1","1","1","2","1","2","1","1","1","2","1","1","1","1"
"ELOVL1","26","19","21","13","15","32","14","12","14","22","44","22","15","16"
"MED8","36","32","32","34","28","25","34","26","28","23","27","31","24","23"
"MED8-AS1"," 5","11","11","16"," 7"," 6","12","11"," 7"," 7","13","19","14","11"
"AMPD2","45","30","36","25","22","28","28","25","27","24","23","31","25","25"
"ASPM","1","2","1","1","2","1","1","1","1","2","1","1","2","1"
"FCF1P7"," 6","10"," 6","10","15"," 5","12","11","11","14","17","14","17","22"
"MIR4677","18"," 4"," 0","16"," 4"," 0"," 4","10"," 0"," 8","10"," 5"," 5"," 0"
"FABP7P1","11","19","15","50","30","12","24","25","21","33","53","35","53","44"
"AKT3-IT1"," 8","16"," 5","30","24","11","19","16","16","21","25","21","23","25"
"AKT3","153","161","149","150","106"," 97","111"," 99","103"," 96"," 71","113"," 90"," 89"
"C1orf174","11"," 9","10"," 6"," 7"," 8"," 8"," 7"," 7"," 6","10"," 8"," 5"," 5"
"IQGAP3","1","1","2","1","2","2","2","2","1","2","4","2","1","1"
"NAXE","17","13","17","11","13","14","14","12","13","12","12","14","10"," 9"
"HAPLN2","32","24","17","11","19","41","14","33","20","32","76","29","17","17"
"BCAN-AS1","1","0","0","1","0","1","1","1","1","1","2","1","1","2"
"BCAN"," 79"," 45"," 60","102"," 27"," 69"," 80"," 69"," 65"," 30"," 95"," 69"," 73"," 71"
"NES","18","12","14","14","15","17"," 7","19","16","19","23","20","10","15"
"CRABP2","11"," 6"," 5"," 8"," 5"," 5"," 5","14"," 7"," 3","27"," 9"," 8"," 6"
"ISG20L2","11","11","13","13","14","11","10","15","12","10","16","16","14","15"
"METTL25B","12"," 8"," 9"," 7","11","13","11","10"," 8","12","14","11","11"," 8"
"MRPL24","38","32","43","31","28","33","31","26","33","30","39","33","26","28"
"HDGF","92","62","72","62","51","62","57","64","58","60","68","70","51","62"
