"","Gene","logFC","padj"
"7471","ZNF274",1.05755441846775,2.81511438839364e-05
"7472","SNRPD2",0.624443516963344,2.81793143782339e-05
"7473","ALDH3B1",1.90111234192225,2.82401930399189e-05
"7474","HMGN2P5",0.842061474028408,2.82751641204774e-05
"7475","SRC",-0.693774558029711,2.83027579616015e-05
"7476","PRKAG2-AS2",-1.53722459997454,2.84647566366417e-05
"7477","TULP3",0.87978515533787,2.84736753150916e-05
"7478","FOXK2",-0.534877459984045,2.85222743837302e-05
"7479","VN1R21P",-2.72482633285765,2.85497402582633e-05
"7480","PHKA1P1",0.958513820936467,2.86093321322626e-05
"7481","DCBLD2",1.24354764419186,2.86724904888744e-05
"7482","FOXRED1",-0.669510106379288,2.88287503932872e-05
"7483","AP5M1",-0.562480060479158,2.88393844435854e-05
"7484","TLL2",-1.90587250363926,2.89642193021693e-05
"7485","SFTPC",-2.3700000880192,2.90072794154758e-05
"7486","ATAD2",0.952832991403105,2.90190511936754e-05
"7487","LINC02254",-2.84255262736595,2.90987148824753e-05
"7488","RNU6-503P",-1.8462033046703,2.93258749850686e-05
"7489","NPBWR2",-2.86491301531876,2.9345778098205e-05
"7490","SREK1",0.58816222040731,2.93948712140855e-05
"7491","USP12",-0.608095720639132,2.94388109526238e-05
"7492","DNAJC16",-0.53015502483367,2.94810987485478e-05
"7493","MRPL32",0.59050974333254,2.95142460961213e-05
"7494","ST13P14",-1.90584568911212,2.95386801521041e-05
"7495","RPS29P21",-1.40613241654575,2.95386801521041e-05
"7496","ALG2",0.637802893073378,2.95478621537714e-05
"7497","FAM111A-DT",1.4364310160933,2.96187569573992e-05
"7498","PTGES3P1",0.655284893248134,2.97373108349247e-05
"7499","FGF22",-1.95988738467982,2.97458785364227e-05
"7500","ROBO4",1.29471656154397,2.97475514815239e-05
"7501","PTH1R",-1.10165054778572,2.97883573204408e-05
"7502","OR13C5",-2.72531779872528,2.97898745822654e-05
"7503","CXCL9",4.87606987093906,2.9810012906734e-05
"7504","HOXC13",3.28012953060601,2.99235914356718e-05
"7505","PRTG",1.60651725519965,2.99632367905863e-05
"7506","TUBGCP2",-0.686558014698245,3.00149490967341e-05
"7507","MIR3936HG",-0.841323632425636,3.00404026821358e-05
"7508","SFTPD-AS1",-2.38067088788725,3.0110035019074e-05
"7509","H4C12",1.29625754162059,3.01127459964919e-05
"7510","AP1S2",1.0816842690635,3.01368982432543e-05
"7511","PCDHGA1",1.67861168923971,3.01877948868068e-05
"7512","IRAG1-AS1",-1.36127433143415,3.03264832026083e-05
"7513","CIAPIN1P",-1.52153145333494,3.04306012288856e-05
"7514","MIR4307HG",3.2257784048054,3.04946640600066e-05
"7515","CCDC71L",1.70744467549848,3.05131073855054e-05
"7516","PDLIM4",1.92046202520888,3.06110447163594e-05
"7517","GNAI1",-1.24000669897874,3.07682495861775e-05
"7518","ADAMTS9-AS1",2.04661882085683,3.08025205574432e-05
"7519","FAM98C",-0.839678918340628,3.0969115628345e-05
"7520","RAB11FIP1P1",-0.762562397650022,3.09754482175142e-05
"7521","BVES",1.70307263122052,3.0999165616526e-05
"7522","TBCCD1",0.685543762567103,3.10711675157155e-05
