ID	adj.P.Val	P.Value	t	B	logFC	Gene
A_33_P3409904	2.59E-01	6.94E-02	-1.8718208	-4.71794773	-2.44E-01	VAMP4
A_24_P942030	6.43E-01	3.56E-01	-0.93574343	-5.95402291	-1.20E-01	VAMP4
A_23_P61569	7.06E-01	4.32E-01	-0.79511858	-6.07306198	-1.34E-01	VAMP4
A_23_P39840	7.24E-01	4.56E-01	0.7535823	-6.10465809	1.51E-01	VAMP5
A_23_P22671	5.71E-02	6.29E-03	-2.90213092	-2.61720242	-4.27E-01	VAMP7
A_23_P28434	8.69E-01	6.89E-01	0.40298723	-6.30515057	1.03E-01	VAMP8
A_24_P199655	8.17E-01	5.90E-01	-0.54338789	-6.23919874	-1.15E-01	VANGL1
A_33_P3282005	2.14E-03	4.63E-05	4.63013499	1.95170152	8.93E-01	VANGL2
A_23_P382199	2.36E-01	5.95E-02	-1.94579591	-4.5901966	-2.78E-01	VAPA
A_33_P3419460	4.39E-01	1.72E-01	-1.39453703	-5.44056246	-4.36E-01	VAPA
A_23_P91293	2.58E-01	6.93E-02	-1.8725023	-4.7167892	-2.73E-01	VAPB
A_33_P3365586	4.92E-01	2.10E-01	-1.27516565	-5.59204178	-2.16E-01	VAPB
A_33_P3248664	1.08E-01	1.71E-02	-2.50061279	-3.51247977	-2.08E-01	VARS
A_23_P111112	7.41E-01	4.79E-01	-0.71508107	-6.13247917	-6.41E-02	VARS2
A_23_P77000	6.42E-01	3.54E-01	-0.93844319	-5.95155691	-7.09E-02	VASH1
A_23_P115492	3.58E-02	3.09E-03	3.17261612	-1.9686837	2.31E-01	VASH2
A_33_P3242663	9.14E-01	7.82E-01	-0.27884245	-6.34729516	-4.83E-02	VASH2
A_23_P129695	3.65E-01	1.24E-01	-1.57428264	-5.18982482	-4.15E-01	VASN
A_23_P119102	6.05E-01	3.14E-01	1.02129883	-5.87260491	2.30E-01	VASP
A_23_P26954	4.70E-01	1.93E-01	-1.3250894	-5.53017885	-1.81E-01	VAT1
A_24_P152527	9.63E-01	8.97E-01	-0.12991268	-6.37766782	-1.68E-02	VAT1
A_23_P400449	4.03E-01	1.47E-01	-1.48082774	-5.32353079	-3.77E-01	VAT1L
A_23_P38959	5.56E-01	2.66E-01	-1.13070305	-5.75875829	-2.76E-01	VAV1
A_33_P3390349	1.92E-03	3.94E-05	4.68341995	2.1038339	3.34E-01	VAV2
A_24_P84419	2.78E-01	7.84E-02	-1.81186008	-4.81852197	-3.13E-01	VAV2
A_23_P201551	2.35E-01	5.92E-02	1.94842064	-4.58559043	4.78E-01	VAV3
A_33_P3381398	8.04E-01	5.71E-01	0.57218343	-6.2232913	4.26E-02	VAX1
A_33_P3381393	8.49E-01	6.49E-01	-0.45937126	-6.28098719	-8.49E-02	VAX1
A_33_P3267562	1.11E-01	1.78E-02	2.48363183	-3.54836644	6.13E-01	VAX2
A_23_P256223	2.69E-01	7.41E-02	-1.83987161	-4.77187244	-2.47E-01	VBP1
A_23_P34345	8.55E-01	6.61E-01	-0.44177384	-6.28886409	-1.84E-01	VCAM1
A_23_P144959	2.26E-01	5.57E-02	-1.97750735	-4.534213	-2.90E-01	VCAN
A_24_P47182	6.72E-01	3.90E-01	-0.86950518	-6.012402	-8.14E-02	VCL
A_23_P83045	9.59E-03	4.35E-04	-3.87449529	-0.15223716	-3.34E-01	VCP
A_33_P3223467	4.02E-01	1.47E-01	-1.48337681	-5.31997911	-4.64E-01	VCPIP1
A_32_P74366	5.25E-01	2.38E-01	-1.20117122	-5.67973735	-2.10E-01	VCPIP1
A_24_P230282	5.46E-02	5.88E-03	2.92802928	-2.55658056	3.83E-01	VCX2
A_32_P33083	6.94E-01	4.16E-01	-0.8227158	-6.05116556	-1.73E-01	VCX2
